company,word,count,per_10k_chinese_chars
通威股份,风险,54,23.03
通威股份,不确定,0,0.0
通威股份,挑战,2,0.853
通威股份,压力,8,3.412
通威股份,下滑,2,0.853
通威股份,下降,24,10.235
通威股份,亏损,6,2.559
通威股份,波动,17,7.25
通威股份,竞争,58,24.736
通威股份,贸易壁垒,4,1.706
隆基绿能,风险,13,9.298
隆基绿能,不确定,3,2.146
隆基绿能,挑战,6,4.292
隆基绿能,压力,3,2.146
隆基绿能,下滑,4,2.861
隆基绿能,下降,25,17.881
隆基绿能,亏损,10,7.153
隆基绿能,波动,2,1.431
隆基绿能,竞争,27,19.312
隆基绿能,贸易壁垒,5,3.576
